Voltage_measured,Current_measured,Temperature_measured,SoC,cycle_number,battery_id,SoH
3.9338720708317454,-0.9102403212712601,5.709549125961586,97.78237625521267,1,B0048,82.81230560292023
3.809720550586175,-0.9966271192223881,6.401721624157717,92.75349582725524,1,B0048,82.81230560292023
3.764702807585356,-0.9968530498310123,7.550120453772143,87.71865802446924,1,B0048,82.81230560292023
3.7198687063838425,-0.9966835572590583,8.180165334917906,82.6847502621939,1,B0048,82.81230560292023
3.672564160785982,-0.9964895735791436,7.078115119922741,77.64981038170035,1,B0048,82.81230560292023
3.6169259080813796,-0.9967784059539093,6.710341579641231,72.61543485675536,1,B0048,82.81230560292023
3.5867237156758986,-0.9966963074288882,7.461931849763397,67.57842035861951,1,B0048,82.81230560292023
3.561419695577768,-0.9964980722784257,7.989429719909482,62.541288285277126,1,B0048,82.81230560292023
3.5342340260502594,-0.996804889227273,7.550426058673944,57.504922651101325,1,B0048,82.81230560292023
3.488284466626092,-0.9968554118706833,6.5185477822550695,52.464600503029985,1,B0048,82.81230560292023
3.4665828379669947,-0.9965358910090556,7.630799384589436,47.423724750518964,1,B0048,82.81230560292023
3.450467658898734,-0.9971942237524887,8.324658233045513,42.37632714835155,1,B0048,82.81230560292023
3.4305870965529452,-0.9969693465790621,8.562593856104563,37.32740088686834,1,B0048,82.81230560292023
3.3826972808196927,-0.9965337503006506,7.076052854930342,32.283138296317055,1,B0048,82.81230560292023
3.3453527097878704,-0.9959793943283656,8.148068321046567,27.235483556492596,1,B0048,82.81230560292023
3.31310352681965,-0.9967365341034812,8.907446159221792,22.14682291188672,1,B0048,82.81230560292023
3.2668604918222037,-0.9969666339388747,9.38647313287969,17.053102341849545,1,B0048,82.81230560292023
3.1691207572719478,-0.9968718311191168,7.957867983841148,12.067390689952674,1,B0048,82.81230560292023
3.043635115204333,-0.9963847778790801,9.134640653023908,7.190511186041618,1,B0048,82.81230560292023
2.8534539380503294,-0.9962818952237995,10.259786449539567,2.3239817805620673,1,B0048,82.81230560292023
3.9611033069726034,-0.9228414954196934,6.01390663917915,97.74630060360882,1,B0046,86.31948616295485
3.839053855675014,-1.0071904351943932,6.726121503746768,92.65947101985796,1,B0046,86.31948616295485
3.7815672706120336,-1.0075288037364512,7.959956981123001,87.5668419852077,1,B0046,86.31948616295485
3.7304450452107822,-1.0071818074317174,8.736713919413198,82.47297463981248,1,B0046,86.31948616295485
3.682486455220649,-1.0072791459649448,7.6957705907719856,77.37921198498073,1,B0046,86.31948616295485
3.6326507244956647,-1.0071114003520845,7.559881883225221,72.28570627621133,1,B0046,86.31948616295485
3.599840957958506,-1.0074927552326136,8.2029437663952,67.18930199729081,1,B0046,86.31948616295485
3.573550303607014,-1.0075256096736511,8.838339412834676,62.09255275154268,1,B0046,86.31948616295485
3.5442112588055097,-1.007519940293008,7.868209993157241,56.99420872219948,1,B0046,86.31948616295485
3.5100672922603873,-1.0079731098080835,7.838547100427712,51.89276716872282,1,B0046,86.31948616295485
3.489431502094819,-1.008809823437904,8.722659549868686,46.78589811029125,1,B0046,86.31948616295485
3.4699101359491347,-1.0092029311963977,9.41202142288471,41.77621518709247,1,B0046,86.31948616295485
3.4410900464242853,-1.01031030166479,8.88598280583351,36.87346361193965,1,B0046,86.31948616295485
3.3919659626991288,-1.0119303823248311,8.677165786659135,31.964456067301718,1,B0046,86.31948616295485
3.352811193534006,-1.0062785796774876,9.580168841985953,27.038671926779255,1,B0046,86.31948616295485
3.3067327269414206,-1.005622606404657,10.385506920751828,22.10662417626645,1,B0046,86.31948616295485
3.2389076760189637,-1.0056531467169698,10.301120073361288,17.17763857925009,1,B0046,86.31948616295485
3.125049746453717,-1.0053865119962848,10.135582685256624,12.241768519138356,1,B0046,86.31948616295485
3.0048102998996997,-1.0051289953144835,11.36967066544094,7.312542162492337,1,B0046,86.31948616295485
2.827207385712607,-1.0050003237295362,12.685494911323959,2.379284168257291,1,B0046,86.31948616295485
3.8940596604777,-1.7547658601672977,23.284648494136157,97.8396792805008,1,B0043,85.56408300098097
3.752924783918655,-1.988100387021591,25.071410751145024,92.7105014233591,1,B0043,85.56408300098097
3.708721873876731,-1.9884388289993316,26.740081681204583,87.56117766334636,1,B0043,85.56408300098097
3.676058608220318,-1.9880826688494864,28.008115988852406,82.41180102271161,1,B0043,85.56408300098097
3.6459811252126215,-1.9884378019475246,28.75883710792846,77.26052752475258,1,B0043,85.56408300098097
3.6169907219586217,-1.9885283594234868,29.191004473432855,72.10999536563932,1,B0043,85.56408300098097
3.5892017310085134,-1.988365178075025,29.530703474126216,66.96672970725956,1,B0043,85.56408300098097
